path,capture_id,capture_type,distance_m,wifi_level,gt_presence,n_drone_bboxes,n_interf_bboxes,max_drone_conf,max_interf_conf
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0000.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,42,0,0.9262209534645081,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0001.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,62,0,0.8832787871360779,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0002.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,52,0,0.9026626348495483,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0003.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,47,1,0.9066073894500732,0.003596971044316888
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0004.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,53,1,0.89614337682724,0.0031705840956419706
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0005.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,47,0,0.8989885449409485,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0006.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,50,0,0.8986891508102417,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0007.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,48,1,0.8957502841949463,0.0028150423895567656
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0008.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,48,2,0.9195540547370911,0.0035536198411136866
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0009.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,58,0,0.9006199836730957,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0010.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,54,0,0.8972468972206116,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0011.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,61,0,0.909200131893158,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0012.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,57,2,0.8666561245918274,0.0016228742897510529
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0013.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,47,0,0.899281919002533,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0014.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,56,0,0.8934255242347717,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0015.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,48,6,0.8890617489814758,0.3031518757343292
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0016.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,72,10,0.864823579788208,0.04339655116200447
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0017.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,54,5,0.8957546353340149,0.0876719057559967
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0018.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,50,10,0.9039738774299622,0.05256262049078941
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0019.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,72,7,0.8855341076850891,0.006136344745755196
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0020.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,72,0,0.9064662456512451,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0021.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,75,0,0.8667907118797302,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0022.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,79,5,0.8901773691177368,0.004647939465939999
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0023.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,83,0,0.8667527437210083,0.0
