epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6573,3.30162,2.48994,0.7645,0.5238,0.19906,0.16834,0.05137,3.64506,2.05686,0.71719,0.000551457,0.000551457,0.000551457
2,45.4913,2.68948,1.35364,0.68737,0.52246,0.23315,0.19824,0.05902,3.63131,1.76801,0.7021,0.00108886,0.00108886,0.00108886
3,67.0814,2.59082,1.18366,0.67964,0.49227,0.23085,0.19707,0.06113,3.54077,1.63294,0.69727,0.00160792,0.00160792,0.00160792
4,87.3869,2.67979,1.09571,0.67558,0.58685,0.25015,0.22526,0.06856,3.62596,1.64962,0.70212,0.00158448,0.00158448,0.00158448
5,105.986,2.49546,0.97645,0.67461,0.56096,0.26021,0.22798,0.06994,3.53715,1.6684,0.68975,0.00155698,0.00155698,0.00155698
6,124.383,2.50811,0.94077,0.67384,0.59331,0.25995,0.23224,0.07265,3.53281,1.58294,0.68546,0.00152947,0.00152947,0.00152947
7,143.416,2.43399,0.89445,0.66914,0.61848,0.26968,0.24876,0.08295,3.50573,1.57662,0.68196,0.00150197,0.00150197,0.00150197
8,162.274,2.4027,0.87204,0.66818,0.62216,0.2631,0.23979,0.07814,3.53828,1.67644,0.67832,0.00147446,0.00147446,0.00147446
9,181.385,2.37782,0.84748,0.66668,0.64342,0.27547,0.26369,0.09031,3.39394,1.59797,0.6752,0.00144696,0.00144696,0.00144696
10,199.745,2.35748,0.83292,0.66722,0.64074,0.26374,0.24165,0.08244,3.4645,1.73053,0.68041,0.00141945,0.00141945,0.00141945
11,218.787,2.34272,0.82074,0.66498,0.62772,0.25106,0.23092,0.07215,3.56445,1.72998,0.68234,0.00139195,0.00139195,0.00139195
12,238.745,2.34398,0.82035,0.66471,0.61771,0.26815,0.25215,0.08209,3.4981,1.79566,0.67772,0.00136444,0.00136444,0.00136444
13,258.68,2.29012,0.80172,0.66687,0.6484,0.27254,0.26144,0.08819,3.4104,1.77137,0.66982,0.00133693,0.00133693,0.00133693
14,278.624,2.30597,0.8025,0.66421,0.61316,0.25136,0.2324,0.07451,3.54157,1.77818,0.67758,0.00130943,0.00130943,0.00130943
15,299.092,2.27427,0.80639,0.66418,0.62523,0.27302,0.25716,0.08553,3.44642,1.75606,0.67173,0.00128192,0.00128192,0.00128192
16,318.538,2.30162,0.7999,0.66267,0.63086,0.27845,0.25368,0.08771,3.41568,1.80983,0.67313,0.00125442,0.00125442,0.00125442
17,338.352,2.25407,0.78006,0.66414,0.63942,0.26595,0.24434,0.08057,3.49195,1.83171,0.67554,0.00122691,0.00122691,0.00122691
18,357.869,2.28729,0.79047,0.66047,0.6278,0.27328,0.25934,0.09138,3.40657,1.78736,0.67057,0.00119941,0.00119941,0.00119941
19,377.306,2.25226,0.76565,0.66195,0.66867,0.26647,0.25759,0.08766,3.43672,1.91544,0.67458,0.0011719,0.0011719,0.0011719
20,396.917,2.24362,0.77684,0.66113,0.63237,0.28536,0.26875,0.09233,3.45417,1.84541,0.66983,0.0011444,0.0011444,0.0011444
21,416.395,2.22492,0.75901,0.66227,0.637,0.27442,0.26391,0.08665,3.4707,1.86793,0.67228,0.00111689,0.00111689,0.00111689
